,dataset,method,metric,object_class,q2,q5,q8,recall,order_key
0,dashcam,BlazeIt,savings in frames,bike,1.1985294117647058,1.1985294117647058,1.1985294117647058,0.1,"('dashcam', 'bike')"
1,dashcam,BlazeIt,time savings,bike,0.03908606319677225,0.03908606319677225,0.03908606319677225,0.1,"('dashcam', 'bike')"
2,dashcam,BlazeIt,savings in frames,bus,1.0165289256198347,1.0165289256198347,1.0165289256198347,0.1,"('dashcam', 'bus')"
3,dashcam,BlazeIt,time savings,bus,0.029600861905458416,0.029600861905458416,0.029600861905458416,0.1,"('dashcam', 'bus')"
4,dashcam,BlazeIt,savings in frames,motor,0.9885714285714285,0.9885714285714285,0.9885714285714285,0.1,"('dashcam', 'motor')"
5,dashcam,BlazeIt,time savings,motor,0.041099622440969576,0.041099622440969576,0.041099622440969576,0.1,"('dashcam', 'motor')"
6,dashcam,BlazeIt,savings in frames,person,0.972972972972973,0.972972972972973,0.972972972972973,0.1,"('dashcam', 'person')"
7,dashcam,BlazeIt,time savings,person,0.03443094392474356,0.03443094392474356,0.03443094392474356,0.1,"('dashcam', 'person')"
8,dashcam,BlazeIt,savings in frames,rider,0.9064327485380117,0.9064327485380117,0.9064327485380117,0.1,"('dashcam', 'rider')"
9,dashcam,BlazeIt,time savings,rider,0.03685838694508202,0.03685838694508202,0.03685838694508202,0.1,"('dashcam', 'rider')"
10,dashcam,BlazeIt,savings in frames,traffic light,0.9715909090909091,0.9715909090909091,0.9715909090909091,0.1,"('dashcam', 'traffic light')"
11,dashcam,BlazeIt,time savings,traffic light,0.04061483342824506,0.04061483342824506,0.04061483342824506,0.1,"('dashcam', 'traffic light')"
12,dashcam,BlazeIt,savings in frames,traffic sign,0.9282051282051282,0.9282051282051282,0.9282051282051282,0.1,"('dashcam', 'traffic sign')"
13,dashcam,BlazeIt,time savings,traffic sign,0.04279683805837091,0.04279683805837091,0.04279683805837091,0.1,"('dashcam', 'traffic sign')"
14,dashcam,BlazeIt,savings in frames,truck,1.0083333333333333,1.0083333333333333,1.0083333333333333,0.1,"('dashcam', 'truck')"
15,dashcam,BlazeIt,time savings,truck,0.029126556599513433,0.029126556599513433,0.029126556599513433,0.1,"('dashcam', 'truck')"
16,dashcam,random,savings in frames,bike,0.9261363636363636,0.9261363636363636,0.9261363636363636,0.1,"('dashcam', 'bike')"
17,dashcam,random,time savings,bike,0.9261363636363636,0.9261363636363636,0.9261363636363636,0.1,"('dashcam', 'bike')"
18,dashcam,random,savings in frames,bus,0.8482758620689655,0.8482758620689655,0.8482758620689655,0.1,"('dashcam', 'bus')"
19,dashcam,random,time savings,bus,0.8482758620689655,0.8482758620689655,0.8482758620689655,0.1,"('dashcam', 'bus')"
20,dashcam,random,savings in frames,motor,0.9664804469273743,0.9664804469273743,0.9664804469273743,0.1,"('dashcam', 'motor')"
21,dashcam,random,time savings,motor,0.9664804469273743,0.9664804469273743,0.9664804469273743,0.1,"('dashcam', 'motor')"
22,dashcam,random,savings in frames,person,0.8228571428571428,0.8228571428571428,0.8228571428571428,0.1,"('dashcam', 'person')"
23,dashcam,random,time savings,person,0.822857142857143,0.822857142857143,0.822857142857143,0.1,"('dashcam', 'person')"
24,dashcam,random,savings in frames,rider,0.8288770053475936,0.8288770053475936,0.8288770053475936,0.1,"('dashcam', 'rider')"
25,dashcam,random,time savings,rider,0.8288770053475936,0.8288770053475936,0.8288770053475936,0.1,"('dashcam', 'rider')"
26,dashcam,random,savings in frames,traffic light,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.1,"('dashcam', 'traffic light')"
27,dashcam,random,time savings,traffic light,0.8636363636363638,0.8636363636363638,0.8636363636363638,0.1,"('dashcam', 'traffic light')"
