histogram,xs,widths,n,N1,i
0.15528392067257477,1.1278458,0.004261017,82,127,0
0.0,1.1321068,0.004261017,82,127,0
0.1035226137817165,1.1363678,0.004261017,82,127,0
0.0,1.1406288,0.004261017,82,127,0
0.0,1.1448898,0.004261017,82,127,0
0.1035226137817165,1.1491508,0.004261017,82,127,0
0.207045227563433,1.1534119,0.004261017,82,127,0
0.0,1.1576729,0.004261017,82,127,0
0.0,1.1619339,0.004261017,82,127,0
0.1035226137817165,1.1661949,0.004261017,82,127,0
0.05176130689085825,1.1704559,0.004261017,82,127,0
0.207045227563433,1.174717,0.004261017,82,127,0
0.414090455126866,1.178978,0.004261017,82,127,0
0.207045227563433,1.183239,0.004261017,82,127,0
0.5176130689085825,1.1875,0.004261017,82,127,0
0.25880653445429125,1.191761,0.004261017,82,127,0
0.5176130689085825,1.196022,0.004261017,82,127,0
0.5693743757994407,1.200283,0.004261017,82,127,0
0.6211356826902991,1.2045441,0.004261017,82,127,0
0.6728969895811572,1.2088051,0.004261017,82,127,0
1.0869874447080232,1.2130661,0.004261017,82,127,0
1.2422713653805981,1.2173271,0.004261017,82,127,0
1.3457939791623144,1.2215881,0.004261017,82,127,0
1.863407048070897,1.2258492,0.004261017,82,127,0
1.5528392067257473,1.2301102,0.004261017,82,127,0
1.7081231273983222,1.2343712,0.004261017,82,127,0
2.3292588100886213,1.2386322,0.004261017,82,127,0
2.5880653445429123,1.2428932,0.004261017,82,127,0
3.1056784134514945,1.2471542,0.004261017,82,127,0
3.157439720342353,1.2514153,0.004261017,82,127,0
3.053917106560637,1.2556763,0.004261017,82,127,0
4.0891432443778015,1.2599373,0.004261017,82,127,0
3.5715301754692192,1.2641983,0.004261017,82,127,0
4.554995006395526,1.2684593,0.004261017,82,127,0
5.02084676841325,1.2727203,0.004261017,82,127,0
6.004311599339557,1.2769814,0.004261017,82,127,0
6.418402054466423,1.2812424,0.004261017,82,127,0
5.90078898555784,1.2855034,0.004261017,82,127,0
5.538459837321833,1.2897644,0.004261017,82,127,0
6.936015123375006,1.2940254,0.004261017,82,127,0
5.538459837321833,1.2982864,0.004261017,82,127,0
6.211356826902989,1.3025475,0.004261017,82,127,0
5.590221144212691,1.3068085,0.004261017,82,127,0
6.366640747575564,1.3110695,0.004261017,82,127,0
6.987776430265864,1.3153305,0.004261017,82,127,0
5.849027678666983,1.3195915,0.004261017,82,127,0
6.418402054466423,1.3238525,0.004261017,82,127,0
4.917324154631534,1.3281136,0.004261017,82,127,0
5.383175916649257,1.3323746,0.004261017,82,127,0
5.641982451103549,1.3366356,0.004261017,82,127,0
7.09129904404758,1.3408966,0.004261017,82,127,0
6.004311599339557,1.3451576,0.004261017,82,127,0
4.658517620177243,1.3494186,0.004261017,82,127,0
5.227891995976683,1.3536797,0.004261017,82,127,0
4.606756313286384,1.3579407,0.004261017,82,127,0
5.745505064885266,1.3622017,0.004261017,82,127,0
6.677208588920714,1.3664627,0.004261017,82,127,0
5.331414609758399,1.3707237,0.004261017,82,127,0
4.244427165050376,1.3749847,0.004261017,82,127,0
4.710278927068101,1.3792458,0.004261017,82,127,0
