density,density2,xs,samples,est,n,N1,i
0.012521857,0.018335212,1.1278457641601562,1.6123117,1.548780487804878,82,127,0
0.014009699,0.020444423,1.1316493205557896,1.5184317,1.548780487804878,82,127,0
0.015653294,0.022762205,1.135452876951423,1.515436,1.548780487804878,82,127,0
0.017464109,0.025307203,1.1392564333470563,1.3523678,1.548780487804878,82,127,0
0.019456478,0.028098138,1.1430599897426896,1.6444967,1.548780487804878,82,127,0
0.021647058,0.03115405,1.146863546138323,1.4207544,1.548780487804878,82,127,0
0.024050485,0.03449176,1.1506671025339563,1.5749594,1.548780487804878,82,127,0
0.026684904,0.038135808,1.1544706589295897,1.1709408,1.548780487804878,82,127,0
0.029566357,0.04210956,1.158274215325223,1.5762818,1.548780487804878,82,127,0
0.03271499,0.046430733,1.1620777717208564,1.6180824,1.548780487804878,82,127,0
0.03615036,0.051128194,1.1658813281164897,1.5192312,1.548780487804878,82,127,0
0.03989287,0.056225356,1.169684884512123,1.4222482,1.548780487804878,82,127,0
0.043962415,0.061747704,1.1734884409077564,1.6117395,1.548780487804878,82,127,0
0.048385046,0.06772352,1.1772919973033897,1.4422834,1.548780487804878,82,127,0
0.053181138,0.07417799,1.181095553699023,1.5614971,1.548780487804878,82,127,0
0.058375977,0.08114106,1.1848991100946564,1.5071824,1.548780487804878,82,127,0
0.064000085,0.08864677,1.1887026664902898,1.5358464,1.548780487804878,82,127,0
0.07007188,0.096716814,1.1925062228859231,1.6894168,1.548780487804878,82,127,0
0.07662145,0.10538957,1.1963097792815565,1.5287052,1.548780487804878,82,127,0
0.08367588,0.11468944,1.2001133356771898,1.5531229,1.548780487804878,82,127,0
0.09126276,0.12465768,1.2039168920728232,1.349774,1.548780487804878,82,127,0
0.09941611,0.1353229,1.2077204484684565,1.5814946,1.548780487804878,82,127,0
0.10815914,0.14670794,1.2115240048640898,1.6165942,1.548780487804878,82,127,0
0.117527515,0.15886648,1.2153275612597232,1.5357549,1.548780487804878,82,127,0
0.12755156,0.17180708,1.2191311176553565,1.3991925,1.548780487804878,82,127,0
0.13825324,0.1855751,1.2229346740509899,1.7219293,1.548780487804878,82,127,0
0.14967912,0.20021412,1.2267382304466232,1.3600929,1.548780487804878,82,127,0
0.1618516,0.21573782,1.2305417868422566,1.6402998,1.548780487804878,82,127,0
0.17480047,0.23218866,1.23434534323789,1.6079332,1.548780487804878,82,127,0
0.18855502,0.24958144,1.2381488996335233,1.5772775,1.548780487804878,82,127,0
0.20315613,0.26796618,1.2419524560291566,1.633375,1.548780487804878,82,127,0
0.2186342,0.2873717,1.24575601242479,1.655388,1.548780487804878,82,127,0
0.2350045,0.30781597,1.2495595688204233,1.5013293,1.548780487804878,82,127,0
0.25231546,0.3293426,1.2533631252160566,1.5625745,1.548780487804878,82,127,0
0.2705876,0.35194477,1.25716668161169,1.3846345,1.548780487804878,82,127,0
