,method,q2,q5,q8,dataset,object_class,metric,recall,order_key,norder_key
44,BlazeIt,0.6572431748697031,0.6572431748697031,0.6572431748697031,dashcam,bus,time savings,0.9,"('dashcam', 'bus')",6
45,random,1.0,1.0,1.0,dashcam,bus,time savings,0.9,"('dashcam', 'bus')",6
46,this work,1.6790314270994333,1.6790314270994333,1.6790314270994333,dashcam,bus,time savings,0.9,"('dashcam', 'bus')",6
47,random+,1.3762668918918919,1.3762668918918919,1.3762668918918919,dashcam,bus,time savings,0.9,"('dashcam', 'bus')",6
48,BlazeIt,3.0227272727272725,3.0227272727272725,3.0227272727272725,dashcam,fire hydrant,savings in frames,0.1,"('dashcam', 'fire hydrant')",4
49,random,1.0,1.0,1.0,dashcam,fire hydrant,savings in frames,0.1,"('dashcam', 'fire hydrant')",4
50,this work,4.03030303030303,4.03030303030303,4.03030303030303,dashcam,fire hydrant,savings in frames,0.1,"('dashcam', 'fire hydrant')",4
51,random+,1.3854166666666667,1.3854166666666667,1.3854166666666667,dashcam,fire hydrant,savings in frames,0.1,"('dashcam', 'fire hydrant')",4
52,BlazeIt,1.1952191235059764,1.1952191235059764,1.1952191235059764,dashcam,fire hydrant,savings in frames,0.5,"('dashcam', 'fire hydrant')",4
53,random,1.0,1.0,1.0,dashcam,fire hydrant,savings in frames,0.5,"('dashcam', 'fire hydrant')",4
54,this work,4.518072289156627,4.518072289156627,4.518072289156627,dashcam,fire hydrant,savings in frames,0.5,"('dashcam', 'fire hydrant')",4
55,random+,1.6465422612513723,1.6465422612513723,1.6465422612513723,dashcam,fire hydrant,savings in frames,0.5,"('dashcam', 'fire hydrant')",4
56,BlazeIt,1.0142247510668563,1.0142247510668563,1.0142247510668563,dashcam,fire hydrant,savings in frames,0.9,"('dashcam', 'fire hydrant')",4
57,random,1.0,1.0,1.0,dashcam,fire hydrant,savings in frames,0.9,"('dashcam', 'fire hydrant')",4
58,this work,4.284855769230769,4.284855769230769,4.284855769230769,dashcam,fire hydrant,savings in frames,0.9,"('dashcam', 'fire hydrant')",4
59,random+,1.57290977277741,1.57290977277741,1.57290977277741,dashcam,fire hydrant,savings in frames,0.9,"('dashcam', 'fire hydrant')",4
60,BlazeIt,0.03522076261958101,0.03522076261958101,0.03522076261958101,dashcam,fire hydrant,time savings,0.1,"('dashcam', 'fire hydrant')",4
61,random,1.0,1.0,1.0,dashcam,fire hydrant,time savings,0.1,"('dashcam', 'fire hydrant')",4
62,this work,4.03030303030303,4.03030303030303,4.03030303030303,dashcam,fire hydrant,time savings,0.1,"('dashcam', 'fire hydrant')",4
63,random+,1.3854166666666667,1.3854166666666667,1.3854166666666667,dashcam,fire hydrant,time savings,0.1,"('dashcam', 'fire hydrant')",4
64,BlazeIt,0.3007710735134758,0.3007710735134758,0.3007710735134758,dashcam,fire hydrant,time savings,0.5,"('dashcam', 'fire hydrant')",4
65,random,1.0,1.0,1.0,dashcam,fire hydrant,time savings,0.5,"('dashcam', 'fire hydrant')",4
66,this work,4.518072289156626,4.518072289156626,4.518072289156626,dashcam,fire hydrant,time savings,0.5,"('dashcam', 'fire hydrant')",4
67,random+,1.646542261251372,1.646542261251372,1.646542261251372,dashcam,fire hydrant,time savings,0.5,"('dashcam', 'fire hydrant')",4
68,BlazeIt,0.6625050742413853,0.6625050742413853,0.6625050742413853,dashcam,fire hydrant,time savings,0.9,"('dashcam', 'fire hydrant')",4
69,random,1.0,1.0,1.0,dashcam,fire hydrant,time savings,0.9,"('dashcam', 'fire hydrant')",4
70,this work,4.284855769230769,4.284855769230769,4.284855769230769,dashcam,fire hydrant,time savings,0.9,"('dashcam', 'fire hydrant')",4
71,random+,1.57290977277741,1.57290977277741,1.57290977277741,dashcam,fire hydrant,time savings,0.9,"('dashcam', 'fire hydrant')",4
72,BlazeIt,,4.154864735387111,,dashcam,geomean,savings in frames,0.1,"('dashcam', 'geomean')",0
73,random,,1.0,,dashcam,geomean,savings in frames,0.1,"('dashcam', 'geomean')",0
74,this work,,3.715876114178668,,dashcam,geomean,savings in frames,0.1,"('dashcam', 'geomean')",0
75,random+,,1.4177454537148737,,dashcam,geomean,savings in frames,0.1,"('dashcam', 'geomean')",0
76,BlazeIt,,1.4981303010890157,,dashcam,geomean,savings in frames,0.5,"('dashcam', 'geomean')",0
77,random,,1.0,,dashcam,geomean,savings in frames,0.5,"('dashcam', 'geomean')",0
78,this work,,3.7069723729545347,,dashcam,geomean,savings in frames,0.5,"('dashcam', 'geomean')",0
79,random+,,1.4165112337386483,,dashcam,geomean,savings in frames,0.5,"('dashcam', 'geomean')",0
80,BlazeIt,,1.2722621771768357,,dashcam,geomean,savings in frames,0.9,"('dashcam', 'geomean')",0
81,random,,1.0,,dashcam,geomean,savings in frames,0.9,"('dashcam', 'geomean')",0
82,this work,,2.933437025214836,,dashcam,geomean,savings in frames,0.9,"('dashcam', 'geomean')",0
83,random+,,1.5184675766464983,,dashcam,geomean,savings in frames,0.9,"('dashcam', 'geomean')",0
84,BlazeIt,,0.02155335130376246,,dashcam,geomean,time savings,0.1,"('dashcam', 'geomean')",0
85,random,,1.0,,dashcam,geomean,time savings,0.1,"('dashcam', 'geomean')",0
86,this work,,3.7158761141786685,,dashcam,geomean,time savings,0.1,"('dashcam', 'geomean')",0
87,random+,,1.417745453714874,,dashcam,geomean,time savings,0.1,"('dashcam', 'geomean')",0
88,BlazeIt,,0.2544374418389358,,dashcam,geomean,time savings,0.5,"('dashcam', 'geomean')",0
89,random,,1.0,,dashcam,geomean,time savings,0.5,"('dashcam', 'geomean')",0
90,this work,,3.706972372954534,,dashcam,geomean,time savings,0.5,"('dashcam', 'geomean')",0
91,random+,,1.416511233738648,,dashcam,geomean,time savings,0.5,"('dashcam', 'geomean')",0
92,BlazeIt,,0.7493956371626841,,dashcam,geomean,time savings,0.9,"('dashcam', 'geomean')",0
93,random,,1.0,,dashcam,geomean,time savings,0.9,"('dashcam', 'geomean')",0
94,this work,,2.933437025214836,,dashcam,geomean,time savings,0.9,"('dashcam', 'geomean')",0
95,random+,,1.5184675766464983,,dashcam,geomean,time savings,0.9,"('dashcam', 'geomean')",0
96,BlazeIt,10.833333333333334,10.833333333333334,10.833333333333334,dashcam,person,savings in frames,0.1,"('dashcam', 'person')",2
97,random,1.0,1.0,1.0,dashcam,person,savings in frames,0.1,"('dashcam', 'person')",2
98,this work,3.8235294117647056,3.8235294117647056,3.8235294117647056,dashcam,person,savings in frames,0.1,"('dashcam', 'person')",2
99,random+,1.2264150943396226,1.2264150943396226,1.2264150943396226,dashcam,person,savings in frames,0.1,"('dashcam', 'person')",2
100,BlazeIt,1.8640552995391706,1.8640552995391706,1.8640552995391706,dashcam,person,savings in frames,0.5,"('dashcam', 'person')",2
101,random,1.0,1.0,1.0,dashcam,person,savings in frames,0.5,"('dashcam', 'person')",2
102,this work,6.798319327731092,6.798319327731092,6.798319327731092,dashcam,person,savings in frames,0.5,"('dashcam', 'person')",2
103,random+,1.5037174721189592,1.5037174721189592,1.5037174721189592,dashcam,person,savings in frames,0.5,"('dashcam', 'person')",2
104,BlazeIt,1.3359860731161404,1.3359860731161404,1.3359860731161404,dashcam,person,savings in frames,0.9,"('dashcam', 'person')",2
105,random,1.0,1.0,1.0,dashcam,person,savings in frames,0.9,"('dashcam', 'person')",2
106,this work,3.419478039465309,3.419478039465309,3.419478039465309,dashcam,person,savings in frames,0.9,"('dashcam', 'person')",2
107,random+,1.4750137287204834,1.4750137287204834,1.4750137287204834,dashcam,person,savings in frames,0.9,"('dashcam', 'person')",2
108,BlazeIt,0.01738813274825473,0.01738813274825473,0.01738813274825473,dashcam,person,time savings,0.1,"('dashcam', 'person')",2
109,random,1.0,1.0,1.0,dashcam,person,time savings,0.1,"('dashcam', 'person')",2
110,this work,3.8235294117647056,3.8235294117647056,3.8235294117647056,dashcam,person,time savings,0.1,"('dashcam', 'person')",2
111,random+,1.2264150943396226,1.2264150943396226,1.2264150943396226,dashcam,person,time savings,0.1,"('dashcam', 'person')",2
112,BlazeIt,0.19418260032748824,0.19418260032748824,0.19418260032748824,dashcam,person,time savings,0.5,"('dashcam', 'person')",2
113,random,1.0,1.0,1.0,dashcam,person,time savings,0.5,"('dashcam', 'person')",2
114,this work,6.798319327731091,6.798319327731091,6.798319327731091,dashcam,person,time savings,0.5,"('dashcam', 'person')",2
115,random+,1.503717472118959,1.503717472118959,1.503717472118959,dashcam,person,time savings,0.5,"('dashcam', 'person')",2
116,BlazeIt,0.6928768334583462,0.6928768334583462,0.6928768334583462,dashcam,person,time savings,0.9,"('dashcam', 'person')",2
117,random,1.0,1.0,1.0,dashcam,person,time savings,0.9,"('dashcam', 'person')",2
118,this work,3.419478039465308,3.419478039465308,3.419478039465308,dashcam,person,time savings,0.9,"('dashcam', 'person')",2
119,random+,1.4750137287204832,1.4750137287204832,1.4750137287204832,dashcam,person,time savings,0.9,"('dashcam', 'person')",2
120,BlazeIt,5.357142857142857,5.357142857142857,5.357142857142857,dashcam,stop sign,savings in frames,0.1,"('dashcam', 'stop sign')",5
121,random,1.0,1.0,1.0,dashcam,stop sign,savings in frames,0.1,"('dashcam', 'stop sign')",5
122,this work,3.75,3.75,3.75,dashcam,stop sign,savings in frames,0.1,"('dashcam', 'stop sign')",5
123,random+,1.3157894736842106,1.3157894736842106,1.3157894736842106,dashcam,stop sign,savings in frames,0.1,"('dashcam', 'stop sign')",5
124,BlazeIt,1.713310580204778,1.713310580204778,1.713310580204778,dashcam,stop sign,savings in frames,0.5,"('dashcam', 'stop sign')",5
125,random,1.0,1.0,1.0,dashcam,stop sign,savings in frames,0.5,"('dashcam', 'stop sign')",5
126,this work,2.8361581920903953,2.8361581920903953,2.8361581920903953,dashcam,stop sign,savings in frames,0.5,"('dashcam', 'stop sign')",5
127,random+,1.6921348314606741,1.6921348314606741,1.6921348314606741,dashcam,stop sign,savings in frames,0.5,"('dashcam', 'stop sign')",5
128,BlazeIt,1.2322388059701492,1.2322388059701492,1.2322388059701492,dashcam,stop sign,savings in frames,0.9,"('dashcam', 'stop sign')",5
129,random,1.0,1.0,1.0,dashcam,stop sign,savings in frames,0.9,"('dashcam', 'stop sign')",5
130,this work,2.584846587351284,2.584846587351284,2.584846587351284,dashcam,stop sign,savings in frames,0.9,"('dashcam', 'stop sign')",5
131,random+,1.7008652657601977,1.7008652657601977,1.7008652657601977,dashcam,stop sign,savings in frames,0.9,"('dashcam', 'stop sign')",5
132,BlazeIt,0.0200203849113082,0.0200203849113082,0.0200203849113082,dashcam,stop sign,time savings,0.1,"('dashcam', 'stop sign')",5
133,random,1.0,1.0,1.0,dashcam,stop sign,time savings,0.1,"('dashcam', 'stop sign')",5
134,this work,3.7500000000000004,3.7500000000000004,3.7500000000000004,dashcam,stop sign,time savings,0.1,"('dashcam', 'stop sign')",5
135,random+,1.3157894736842106,1.3157894736842106,1.3157894736842106,dashcam,stop sign,time savings,0.1,"('dashcam', 'stop sign')",5
136,BlazeIt,0.3265974084638982,0.3265974084638982,0.3265974084638982,dashcam,stop sign,time savings,0.5,"('dashcam', 'stop sign')",5
137,random,1.0,1.0,1.0,dashcam,stop sign,time savings,0.5,"('dashcam', 'stop sign')",5
138,this work,2.8361581920903953,2.8361581920903953,2.8361581920903953,dashcam,stop sign,time savings,0.5,"('dashcam', 'stop sign')",5
139,random+,1.6921348314606741,1.6921348314606741,1.6921348314606741,dashcam,stop sign,time savings,0.5,"('dashcam', 'stop sign')",5
140,BlazeIt,0.7913972571494547,0.7913972571494547,0.7913972571494547,dashcam,stop sign,time savings,0.9,"('dashcam', 'stop sign')",5
141,random,1.0,1.0,1.0,dashcam,stop sign,time savings,0.9,"('dashcam', 'stop sign')",5
142,this work,2.584846587351284,2.584846587351284,2.584846587351284,dashcam,stop sign,time savings,0.9,"('dashcam', 'stop sign')",5
143,random+,1.7008652657601977,1.7008652657601977,1.7008652657601977,dashcam,stop sign,time savings,0.9,"('dashcam', 'stop sign')",5
144,BlazeIt,5.4,5.4,5.4,dashcam,traffic light,savings in frames,0.1,"('dashcam', 'traffic light')",3
145,random,1.0,1.0,1.0,dashcam,traffic light,savings in frames,0.1,"('dashcam', 'traffic light')",3
146,this work,4.5,4.5,4.5,dashcam,traffic light,savings in frames,0.1,"('dashcam', 'traffic light')",3
147,random+,1.5,1.5,1.5,dashcam,traffic light,savings in frames,0.1,"('dashcam', 'traffic light')",3
148,BlazeIt,1.5348837209302322,1.5348837209302322,1.5348837209302322,dashcam,traffic light,savings in frames,0.5,"('dashcam', 'traffic light')",3
149,random,1.0,1.0,1.0,dashcam,traffic light,savings in frames,0.5,"('dashcam', 'traffic light')",3
150,this work,4.959537572254335,4.959537572254335,4.959537572254335,dashcam,traffic light,savings in frames,0.5,"('dashcam', 'traffic light')",3
151,random+,1.2999999999999998,1.2999999999999998,1.2999999999999998,dashcam,traffic light,savings in frames,0.5,"('dashcam', 'traffic light')",3
152,BlazeIt,1.4071729957805907,1.4071729957805907,1.4071729957805907,dashcam,traffic light,savings in frames,0.9,"('dashcam', 'traffic light')",3
153,random,1.0,1.0,1.0,dashcam,traffic light,savings in frames,0.9,"('dashcam', 'traffic light')",3
154,this work,3.7117417918753475,3.7117417918753475,3.7117417918753475,dashcam,traffic light,savings in frames,0.9,"('dashcam', 'traffic light')",3
155,random+,1.4891716901093994,1.4891716901093994,1.4891716901093994,dashcam,traffic light,savings in frames,0.9,"('dashcam', 'traffic light')",3
156,BlazeIt,0.014430084915038006,0.014430084915038006,0.014430084915038006,dashcam,traffic light,time savings,0.1,"('dashcam', 'traffic light')",3
157,random,1.0,1.0,1.0,dashcam,traffic light,time savings,0.1,"('dashcam', 'traffic light')",3
158,this work,4.5,4.5,4.5,dashcam,traffic light,time savings,0.1,"('dashcam', 'traffic light')",3
159,random+,1.5,1.5,1.5,dashcam,traffic light,time savings,0.1,"('dashcam', 'traffic light')",3
160,BlazeIt,0.19994492328823993,0.19994492328823993,0.19994492328823993,dashcam,traffic light,time savings,0.5,"('dashcam', 'traffic light')",3
161,random,1.0,1.0,1.0,dashcam,traffic light,time savings,0.5,"('dashcam', 'traffic light')",3
162,this work,4.959537572254335,4.959537572254335,4.959537572254335,dashcam,traffic light,time savings,0.5,"('dashcam', 'traffic light')",3
163,random+,1.2999999999999998,1.2999999999999998,1.2999999999999998,dashcam,traffic light,time savings,0.5,"('dashcam', 'traffic light')",3
164,BlazeIt,0.7872824521162843,0.7872824521162843,0.7872824521162843,dashcam,traffic light,time savings,0.9,"('dashcam', 'traffic light')",3
165,random,1.0,1.0,1.0,dashcam,traffic light,time savings,0.9,"('dashcam', 'traffic light')",3
166,this work,3.711741791875348,3.711741791875348,3.711741791875348,dashcam,traffic light,time savings,0.9,"('dashcam', 'traffic light')",3
167,random+,1.4891716901093994,1.4891716901093994,1.4891716901093994,dashcam,traffic light,time savings,0.9,"('dashcam', 'traffic light')",3
168,BlazeIt,1.4400000000000002,1.4400000000000002,1.4400000000000002,dashcam,truck,savings in frames,0.1,"('dashcam', 'truck')",7
169,random,1.0,1.0,1.0,dashcam,truck,savings in frames,0.1,"('dashcam', 'truck')",7
170,this work,1.9636363636363636,1.9636363636363636,1.9636363636363636,dashcam,truck,savings in frames,0.1,"('dashcam', 'truck')",7
171,random+,1.2134831460674158,1.2134831460674158,1.2134831460674158,dashcam,truck,savings in frames,0.1,"('dashcam', 'truck')",7
172,BlazeIt,1.216990788126919,1.216990788126919,1.216990788126919,dashcam,truck,savings in frames,0.5,"('dashcam', 'truck')",7
173,random,1.0,1.0,1.0,dashcam,truck,savings in frames,0.5,"('dashcam', 'truck')",7
174,this work,1.7182080924855492,1.7182080924855492,1.7182080924855492,dashcam,truck,savings in frames,0.5,"('dashcam', 'truck')",7
175,random+,1.3450226244343892,1.3450226244343892,1.3450226244343892,dashcam,truck,savings in frames,0.5,"('dashcam', 'truck')",7
