,dataset,method,metric,object_class,q2,q5,q8,recall,order_key,norder_key
0,bdd,BlazeIt,savings in frames,bike,1.1985294117647058,1.1985294117647058,1.1985294117647058,0.1,"('bdd', 'bike')",2
1,bdd,BlazeIt,time savings,bike,0.11880622196902035,0.11880622196902035,0.11880622196902035,0.1,"('bdd', 'bike')",2
2,bdd,BlazeIt,savings in frames,bus,1.0165289256198347,1.0165289256198347,1.0165289256198347,0.1,"('bdd', 'bus')",5
3,bdd,BlazeIt,time savings,bus,0.09064232134001932,0.09064232134001932,0.09064232134001932,0.1,"('bdd', 'bus')",5
4,bdd,BlazeIt,savings in frames,motor,0.9885714285714285,0.9885714285714285,0.9885714285714285,0.1,"('bdd', 'motor')",3
5,bdd,BlazeIt,time savings,motor,0.12260964205526194,0.12260964205526194,0.12260964205526194,0.1,"('bdd', 'motor')",3
6,bdd,BlazeIt,savings in frames,person,0.972972972972973,0.972972972972973,0.972972972972973,0.1,"('bdd', 'person')",1
7,bdd,BlazeIt,time savings,person,0.10404759474782514,0.10404759474782514,0.10404759474782514,0.1,"('bdd', 'person')",1
8,bdd,BlazeIt,savings in frames,rider,0.9064327485380117,0.9064327485380117,0.9064327485380117,0.1,"('bdd', 'rider')",4
9,bdd,BlazeIt,time savings,rider,0.11016487643255163,0.11016487643255163,0.11016487643255163,0.1,"('bdd', 'rider')",4
10,bdd,BlazeIt,savings in frames,traffic light,0.9715909090909091,0.9715909090909091,0.9715909090909091,0.1,"('bdd', 'traffic light')",7
11,bdd,BlazeIt,time savings,traffic light,0.12110635829022666,0.12110635829022666,0.12110635829022666,0.1,"('bdd', 'traffic light')",7
12,bdd,BlazeIt,savings in frames,traffic sign,0.9282051282051282,0.9282051282051282,0.9282051282051282,0.1,"('bdd', 'traffic sign')",8
13,bdd,BlazeIt,time savings,traffic sign,0.12648656510152864,0.12648656510152864,0.12648656510152864,0.1,"('bdd', 'traffic sign')",8
14,bdd,BlazeIt,savings in frames,truck,1.0083333333333333,1.0083333333333333,1.0083333333333333,0.1,"('bdd', 'truck')",6
15,bdd,BlazeIt,time savings,truck,0.0892342217816878,0.0892342217816878,0.0892342217816878,0.1,"('bdd', 'truck')",6
16,bdd,random,savings in frames,bike,0.9261363636363636,0.9261363636363636,0.9261363636363636,0.1,"('bdd', 'bike')",2
17,bdd,random,time savings,bike,0.9261363636363638,0.9261363636363638,0.9261363636363638,0.1,"('bdd', 'bike')",2
18,bdd,random,savings in frames,bus,0.8482758620689655,0.8482758620689655,0.8482758620689655,0.1,"('bdd', 'bus')",5
