,dataset,method,metric,object_class,q2,q5,q8,recall,order_key
56,dashcam,this work,savings in frames,rider,2.0535714285714284,2.0535714285714284,2.0535714285714284,0.5,4
57,dashcam,this work,time savings,rider,2.0535714285714284,2.0535714285714284,2.0535714285714284,0.5,4
58,dashcam,this work,savings in frames,traffic light,1.5673707210487982,1.5673707210487982,1.5673707210487982,0.5,7
59,dashcam,this work,time savings,traffic light,1.5673707210487982,1.5673707210487982,1.5673707210487982,0.5,7
60,dashcam,this work,savings in frames,traffic sign,1.3154991726420298,1.3154991726420298,1.3154991726420298,0.5,8
61,dashcam,this work,time savings,traffic sign,1.31549917264203,1.31549917264203,1.31549917264203,0.5,8
62,dashcam,this work,savings in frames,truck,1.521933751119069,1.521933751119069,1.521933751119069,0.5,6
63,dashcam,this work,time savings,truck,1.5219337511190691,1.5219337511190691,1.5219337511190691,0.5,6
64,dashcam,random,savings in frames,bike,1.0009514747859183,1.0009514747859183,1.0009514747859183,0.9,2
65,dashcam,random,time savings,bike,1.0009514747859183,1.0009514747859183,1.0009514747859183,0.9,2
66,dashcam,random,savings in frames,bus,0.9774567391649468,0.9774567391649468,0.9774567391649468,0.9,5
67,dashcam,random,time savings,bus,0.9774567391649468,0.9774567391649468,0.9774567391649468,0.9,5
68,dashcam,random,savings in frames,motor,0.9861857252494244,0.9861857252494244,0.9861857252494244,0.9,3
69,dashcam,random,time savings,motor,0.9861857252494244,0.9861857252494244,0.9861857252494244,0.9,3
70,dashcam,random,savings in frames,person,0.9730462519936204,0.9730462519936204,0.9730462519936204,0.9,1
71,dashcam,random,time savings,person,0.9730462519936205,0.9730462519936205,0.9730462519936205,0.9,1
72,dashcam,random,savings in frames,rider,0.9794636015325671,0.9794636015325671,0.9794636015325671,0.9,4
73,dashcam,random,time savings,rider,0.9794636015325671,0.9794636015325671,0.9794636015325671,0.9,4
74,dashcam,random,savings in frames,traffic light,0.9899660389008953,0.9899660389008953,0.9899660389008953,0.9,7
75,dashcam,random,time savings,traffic light,0.9899660389008954,0.9899660389008954,0.9899660389008954,0.9,7
76,dashcam,random,savings in frames,traffic sign,0.9945446279739354,0.9945446279739354,0.9945446279739354,0.9,8
77,dashcam,random,time savings,traffic sign,0.9945446279739354,0.9945446279739354,0.9945446279739354,0.9,8
