,method,q2,q5,q8,dataset,object_class,metric,recall,order_key,norder_key
47,random+,0.9927360774818405,0.9927360774818405,0.9927360774818405,bdd,bus,time savings,0.9,"('bdd', 'bus')",5
48,BlazeIt,,1.1412446505438658,,bdd,geomean,savings in frames,0.1,"('bdd', 'geomean')",0
49,random,,1.0,,bdd,geomean,savings in frames,0.1,"('bdd', 'geomean')",0
50,this work,,1.8851049275556597,,bdd,geomean,savings in frames,0.1,"('bdd', 'geomean')",0
51,random+,,1.1462007981406346,,bdd,geomean,savings in frames,0.1,"('bdd', 'geomean')",0
52,BlazeIt,,0.9952246533653869,,bdd,geomean,savings in frames,0.5,"('bdd', 'geomean')",0
53,random,,1.0,,bdd,geomean,savings in frames,0.5,"('bdd', 'geomean')",0
54,this work,,2.179984698055061,,bdd,geomean,savings in frames,0.5,"('bdd', 'geomean')",0
55,random+,,1.190230796130043,,bdd,geomean,savings in frames,0.5,"('bdd', 'geomean')",0
56,BlazeIt,,1.0006796060055414,,bdd,geomean,savings in frames,0.9,"('bdd', 'geomean')",0
57,random,,1.0,,bdd,geomean,savings in frames,0.9,"('bdd', 'geomean')",0
58,this work,,1.5874667461584901,,bdd,geomean,savings in frames,0.9,"('bdd', 'geomean')",0
59,random+,,1.0148620920316733,,bdd,geomean,savings in frames,0.9,"('bdd', 'geomean')",0
60,BlazeIt,,0.12552343282185896,,bdd,geomean,time savings,0.1,"('bdd', 'geomean')",0
61,random,,1.0,,bdd,geomean,time savings,0.1,"('bdd', 'geomean')",0
62,this work,,1.8851049275556597,,bdd,geomean,time savings,0.1,"('bdd', 'geomean')",0
63,random+,,1.1462007981406346,,bdd,geomean,time savings,0.1,"('bdd', 'geomean')",0
64,BlazeIt,,0.6040735466618624,,bdd,geomean,time savings,0.5,"('bdd', 'geomean')",0
65,random,,1.0,,bdd,geomean,time savings,0.5,"('bdd', 'geomean')",0
66,this work,,2.17998469805506,,bdd,geomean,time savings,0.5,"('bdd', 'geomean')",0
67,random+,,1.190230796130043,,bdd,geomean,time savings,0.5,"('bdd', 'geomean')",0
68,BlazeIt,,0.8143615093497741,,bdd,geomean,time savings,0.9,"('bdd', 'geomean')",0
69,random,,1.0,,bdd,geomean,time savings,0.9,"('bdd', 'geomean')",0
70,this work,,1.58746674615849,,bdd,geomean,time savings,0.9,"('bdd', 'geomean')",0
71,random+,,1.0148620920316733,,bdd,geomean,time savings,0.9,"('bdd', 'geomean')",0
72,BlazeIt,1.0228571428571425,1.0228571428571425,1.0228571428571425,bdd,motor,savings in frames,0.1,"('bdd', 'motor')",3
73,random,1.0,1.0,1.0,bdd,motor,savings in frames,0.1,"('bdd', 'motor')",3
74,this work,1.9670329670329665,1.9670329670329665,1.9670329670329665,bdd,motor,savings in frames,0.1,"('bdd', 'motor')",3
75,random+,1.0346820809248554,1.0346820809248554,1.0346820809248554,bdd,motor,savings in frames,0.1,"('bdd', 'motor')",3
76,BlazeIt,0.9368635437881873,0.9368635437881873,0.9368635437881873,bdd,motor,savings in frames,0.5,"('bdd', 'motor')",3
77,random,1.0,1.0,1.0,bdd,motor,savings in frames,0.5,"('bdd', 'motor')",3
78,this work,2.4598930481283423,2.4598930481283423,2.4598930481283423,bdd,motor,savings in frames,0.5,"('bdd', 'motor')",3
79,random+,1.251700680272109,1.251700680272109,1.251700680272109,bdd,motor,savings in frames,0.5,"('bdd', 'motor')",3
80,BlazeIt,0.9926873857404022,0.9926873857404022,0.9926873857404022,bdd,motor,savings in frames,0.9,"('bdd', 'motor')",3
81,random,1.0,1.0,1.0,bdd,motor,savings in frames,0.9,"('bdd', 'motor')",3
82,this work,1.7885375494071145,1.7885375494071145,1.7885375494071145,bdd,motor,savings in frames,0.9,"('bdd', 'motor')",3
83,random+,1.0189528992306247,1.0189528992306247,1.0189528992306247,bdd,motor,savings in frames,0.9,"('bdd', 'motor')",3
84,BlazeIt,0.1268619995831901,0.1268619995831901,0.1268619995831901,bdd,motor,time savings,0.1,"('bdd', 'motor')",3
85,random,1.0,1.0,1.0,bdd,motor,time savings,0.1,"('bdd', 'motor')",3
86,this work,1.967032967032967,1.967032967032967,1.967032967032967,bdd,motor,time savings,0.1,"('bdd', 'motor')",3
87,random+,1.0346820809248556,1.0346820809248556,1.0346820809248556,bdd,motor,time savings,0.1,"('bdd', 'motor')",3
88,BlazeIt,0.5750032314128939,0.5750032314128939,0.5750032314128939,bdd,motor,time savings,0.5,"('bdd', 'motor')",3
89,random,1.0,1.0,1.0,bdd,motor,time savings,0.5,"('bdd', 'motor')",3
90,this work,2.4598930481283423,2.4598930481283423,2.4598930481283423,bdd,motor,time savings,0.5,"('bdd', 'motor')",3
91,random+,1.251700680272109,1.251700680272109,1.251700680272109,bdd,motor,time savings,0.5,"('bdd', 'motor')",3
92,BlazeIt,0.8097248078760192,0.8097248078760192,0.8097248078760192,bdd,motor,time savings,0.9,"('bdd', 'motor')",3
93,random,1.0,1.0,1.0,bdd,motor,time savings,0.9,"('bdd', 'motor')",3
94,this work,1.7885375494071143,1.7885375494071143,1.7885375494071143,bdd,motor,time savings,0.9,"('bdd', 'motor')",3
95,random+,1.0189528992306247,1.0189528992306247,1.0189528992306247,bdd,motor,time savings,0.9,"('bdd', 'motor')",3
96,BlazeIt,1.1824324324324325,1.1824324324324325,1.1824324324324325,bdd,person,savings in frames,0.1,"('bdd', 'person')",1
97,random,1.0,1.0,1.0,bdd,person,savings in frames,0.1,"('bdd', 'person')",1
98,this work,2.966101694915254,2.966101694915254,2.966101694915254,bdd,person,savings in frames,0.1,"('bdd', 'person')",1
99,random+,1.215277777777778,1.215277777777778,1.215277777777778,bdd,person,savings in frames,0.1,"('bdd', 'person')",1
100,BlazeIt,0.992588369441277,0.992588369441277,0.992588369441277,bdd,person,savings in frames,0.5,"('bdd', 'person')",1
101,random,1.0,1.0,1.0,bdd,person,savings in frames,0.5,"('bdd', 'person')",1
102,this work,3.0597539543057994,3.0597539543057994,3.0597539543057994,bdd,person,savings in frames,0.5,"('bdd', 'person')",1
103,random+,1.2048442906574395,1.2048442906574395,1.2048442906574395,bdd,person,savings in frames,0.5,"('bdd', 'person')",1
104,BlazeIt,0.9990562476406192,0.9990562476406192,0.9990562476406192,bdd,person,savings in frames,0.9,"('bdd', 'person')",1
